file,elapsed_time
contracts/htlc/Htlc_timeout-deadline_v5.sol,3.97
contracts/htlc/Htlc_commit-auth-owner_v4.sol,3.97
contracts/escrow/Escrow_dispute-onlyif-agree_v2.sol,4.04
contracts/escrow/Escrow_recipient-buyer-or-seller_v2.sol,4.37
contracts/escrow/Escrow_recipient-buyer-or-seller_v1.sol,4.41
contracts/escrow/Escrow_no-send-in-agree_v2.sol,4.97
contracts/escrow/Escrow_dispute-onlyif-agree_v1.sol,4.47
contracts/escrow/Escrow_auth-in-dispute_v1.sol,4.83
contracts/escrow/Escrow_auth-in-dispute_v2.sol,4.81
contracts/escrow/Escrow_no-send-in-agree_v1.sol,4.95
contracts/escrow/Escrow_auth-in-agree_v2.sol,5.08
contracts/escrow/Escrow_auth-in-agree_v1.sol,4.99
contracts/payment_splitter/PaymentSplitter_p5_v1.sol,5.34
contracts/payment_splitter/PaymentSplitter_p4_v1.sol,5.49
contracts/payment_splitter/PaymentSplitter_p3_v1.sol,5.49
contracts/payment_splitter/PaymentSplitter_p2_v1.sol,5.21
contracts/payment_splitter/PaymentSplitter_p1_v1.sol,5.23
contracts/vesting_wallet/VestingWallet_no-start-no-rel_v2.sol,5.00
contracts/vesting_wallet/VestingWallet_rel-le-bal_v1.sol,5.39
contracts/vesting_wallet/VestingWallet_exp-all-rel_v2.sol,5.34
contracts/vesting_wallet/VestingWallet_rel-le-bal_v2.sol,5.25
contracts/vesting_wallet/VestingWallet_no-start-no-rel_v1.sol,5.29
contracts/vesting_wallet/VestingWallet_exp-all-rel_v1.sol,5.38
contracts/zerotoken_bet/ZeroTokenBet_ab-gte0_v1.sol,3.74
contracts/zerotoken_bet/ZeroTokenBet_ab-gte0_v2.sol,4.05
contracts/zerotoken_bet/ZeroTokenBet_ab-lte2_v2.sol,4.02
contracts/zerotoken_bet/ZeroTokenBet_bb-gte0_v1.sol,4.14
contracts/zerotoken_bet/ZeroTokenBet_bb-lte2_v2.sol,4.03
contracts/zerotoken_bet/ZeroTokenBet_candep_v2.sol,3.93
contracts/zerotoken_bet/ZeroTokenBet_ab-lte2_v1.sol,4.03
contracts/zerotoken_bet/ZeroTokenBet_bb-lte2_v1.sol,4.10
contracts/zerotoken_bet/ZeroTokenBet_cannotdep_v2.sol,3.88
contracts/zerotoken_bet/ZeroTokenBet_cb-gte0_v1.sol,4.22
contracts/zerotoken_bet/ZeroTokenBet_cannotdep_v1.sol,3.95
contracts/zerotoken_bet/ZeroTokenBet_cb-lte2_v2.sol,4.05
contracts/zerotoken_bet/ZeroTokenBet_bb-gte0_v2.sol,4.09
contracts/zerotoken_bet/ZeroTokenBet_candep_v1.sol,3.86
contracts/zerotoken_bet/ZeroTokenBet_cb-gte0_v2.sol,4.01
contracts/zerotoken_bet/ZeroTokenBet_cb-lte2_v1.sol,4.11
contracts/deposit_eth/DepositEth_wd-leq-init-bal_v1.sol,2.97
contracts/deposit_eth/DepositEth_wd-leq-init-bal_v7.sol,3.90
contracts/deposit_eth/DepositEth_wd-contract-bal_v2.sol,3.80
contracts/deposit_eth/DepositEth_wd-contract-bal_v6.sol,3.73
contracts/deposit_eth/DepositEth_wd-sender-rcv_v8.sol,3.10
contracts/deposit_eth/DepositEth_wd-sender-rcv_v2.sol,3.70
contracts/deposit_eth/DepositEth_wd-leq-init-bal_v8.sol,3.26
contracts/deposit_eth/DepositEth_wd-sender-rcv-EOA_v8.sol,3.07
contracts/deposit_eth/DepositEth_wd-leq-init-bal_v6.sol,3.89
contracts/deposit_eth/DepositEth_wd-sender-rcv-EOA_v6.sol,3.79
contracts/deposit_eth/DepositEth_wd-sender-rcv_v3.sol,3.78
contracts/deposit_eth/DepositEth_wd-sender-rcv-EOA_v2.sol,3.70
contracts/deposit_eth/DepositEth_wd-leq-init-bal_v5.sol,3.89
contracts/deposit_eth/DepositEth_wd-sender-rcv-EOA_v1.sol,3.04
contracts/deposit_eth/DepositEth_wd-sender-rcv-EOA_v4.sol,3.74
contracts/deposit_eth/DepositEth_wd-contract-bal_v8.sol,3.04
contracts/deposit_eth/DepositEth_wd-sender-rcv_v6.sol,3.83
contracts/deposit_eth/DepositEth_wd-contract-bal_v1.sol,3.08
contracts/deposit_eth/DepositEth_wd-leq-init-bal_v3.sol,3.90
contracts/deposit_eth/DepositEth_wd-contract-bal_v3.sol,3.68
contracts/deposit_eth/DepositEth_wd-sender-rcv_v7.sol,3.70
contracts/deposit_eth/DepositEth_wd-leq-init-bal_v4.sol,3.94
contracts/deposit_eth/DepositEth_wd-contract-bal_v4.sol,3.66
contracts/deposit_eth/DepositEth_wd-sender-rcv_v1.sol,2.99
contracts/deposit_eth/DepositEth_wd-sender-rcv_v5.sol,3.71
contracts/deposit_eth/DepositEth_wd-sender-rcv-EOA_v5.sol,3.73
contracts/deposit_eth/DepositEth_wd-sender-rcv-EOA_v3.sol,3.73
contracts/deposit_eth/DepositEth_wd-contract-bal_v7.sol,3.85
contracts/deposit_eth/DepositEth_wd-sender-rcv_v4.sol,3.75
contracts/deposit_eth/DepositEth_wd-leq-init-bal_v2.sol,3.88
contracts/deposit_eth/DepositEth_wd-contract-bal_v5.sol,3.65
contracts/deposit_eth/DepositEth_wd-sender-rcv-EOA_v7.sol,3.78
contracts/call-wrapper/Caller_stor_v2.sol,3.16
contracts/call-wrapper/Caller_stor_v4.sol,3.71
contracts/call-wrapper/Caller_bal_v3.sol,3.12
contracts/call-wrapper/Caller_stor_v1.sol,2.80
contracts/call-wrapper/Caller_bal_v5.sol,3.72
contracts/call-wrapper/Caller_stor_v5.sol,3.81
contracts/call-wrapper/Caller_bal_v4.sol,3.76
contracts/call-wrapper/Caller_bal_v2.sol,3.49
contracts/call-wrapper/Caller_bal_v1.sol,2.83
contracts/call-wrapper/Caller_stor_v3.sol,3.08
contracts/vault/Vault_canc-revert_v3.sol,3.52
contracts/vault/Vault_okey-neq-rkey_v2.sol,3.84
contracts/vault/Vault_wd-fin-revert_v2.sol,3.97
contracts/vault/Vault_okey-neq-rkey_v3.sol,3.96
contracts/vault/Vault_okey-neq-rkey_v1.sol,3.91
contracts/vault/Vault_wd-fin-revert_v3.sol,3.91
contracts/vault/Vault_canc-revert_v2.sol,3.74
contracts/vault/Vault_canc-revert_v1.sol,3.78
contracts/vault/Vault_wd-fin-revert_v1.sol,3.90
